status,card_present_flag,txn_description,first_name,balance,gender,age,merchant_state,amount,customer_id,longitude,latitude,month,day,day_name,month_name
authorized,1.0,POS,Diana,35.39,F,26,QLD,16.25,CUS-2487424745,153.41,-27.95,8,1,Wednesday,August
authorized,0.0,SALES-POS,Diana,21.2,F,26,NSW,14.19,CUS-2487424745,153.41,-27.95,8,1,Wednesday,August
authorized,1.0,POS,Michael,5.71,M,38,NSW,6.42,CUS-2142601169,151.23,-33.94,8,1,Wednesday,August
authorized,1.0,SALES-POS,Rhonda,2117.22,F,40,QLD,40.9,CUS-1614226872,153.1,-27.66,8,1,Wednesday,August
authorized,1.0,SALES-POS,Diana,17.95,F,26,QLD,3.25,CUS-2487424745,153.41,-27.95,8,1,Wednesday,August
posted,,PAYMENT,Robert,1705.43,M,20,,163.0,CUS-2688605418,151.22,-33.87,8,1,Wednesday,August
authorized,1.0,SALES-POS,Kristin,1248.36,F,43,VIC,61.06,CUS-4123612273,144.95,-37.76,8,1,Wednesday,August
authorized,1.0,POS,Kristin,1232.75,F,43,VIC,15.61,CUS-4123612273,144.95,-37.76,8,1,Wednesday,August
authorized,1.0,POS,Tonya,213.16,F,27,WA,19.25,CUS-3026014945,116.06,-32.0,8,1,Wednesday,August
posted,,INTER BANK,Michael,466.58,M,40,,21.0,CUS-2031327464,151.23,-33.96,8,1,Wednesday,August
posted,,PAYMENT,Fernando,4348.5,M,19,,27.0,CUS-2317998716,146.94,-36.04,8,1,Wednesday,August
posted,,PAYMENT,Kristin,1203.75,F,43,,29.0,CUS-4123612273,144.95,-37.76,8,1,Wednesday,August
authorized,1.0,SALES-POS,Tonya,207.08,F,27,WA,6.08,CUS-3026014945,116.06,-32.0,8,1,Wednesday,August
posted,,INTER BANK,Isaiah,4438.16,M,23,,25.0,CUS-1462656821,151.27,-33.76,8,1,Wednesday,August
posted,,INTER BANK,Ricky,173.66,M,43,,39.0,CUS-3142625864,145.16,-37.84,8,1,Wednesday,August
authorized,1.0,POS,Jeffrey,2.85,M,30,QLD,10.79,CUS-860700529,153.05,-27.61,8,1,Wednesday,August
posted,,PAYMENT,Karen,3117.94,F,26,,55.0,CUS-2630892467,149.03,-34.97,8,1,Wednesday,August
posted,,PAYMENT,Ruth,38.31,F,47,,58.0,CUS-3716701010,115.72,-32.28,8,1,Wednesday,August
authorized,1.0,POS,Kimberly,708.28,F,24,VIC,7.37,CUS-3378712515,145.45,-37.74,8,1,Wednesday,August
authorized,1.0,POS,Diana,3.85,F,26,NSW,14.1,CUS-2487424745,153.41,-27.95,8,1,Wednesday,August
authorized,0.0,POS,Joseph,275.93,M,37,NSW,24.77,CUS-2695611575,153.32,-27.93,8,1,Wednesday,August
authorized,1.0,SALES-POS,Tiffany,259.37,F,25,WA,13.67,CUS-1669695324,115.74,-31.72,8,1,Wednesday,August
